Username,Total reviews,location,date,content,Rating,instruction,summary
paulgarrett,5 reviews,GB,"Updated Jan 27, 2024","‘’PERSONAL LOAN’’‘’PERSONAL LOAN’’Don’t be fooled by pre-approved acceptance from comparison websites & credit reference agencies. Once you apply then the interigation process really starts I understand that every loan company has to do their own internal checks which is fair enough but this company is over the top. I chucked the towel in,in the end, applied with M & S personal loans no faf accepted straightaway money in the bank within 3 days. Beware you have been warned !!!Date of experience: January 22, 2024",1,"Please provide the following information for the given review keeping concise to a single sentence where possible:
0. Identify the topic category - it can be either Customer Service, Pricing, Policy Terms, Website/App
1. Identify a single or two common themes - this will be used to group review topic together
2. Pain point: What problem or challenge is the review addressing?
3. Detailed Topic: What in detail is the customer problem?
4. Main Emotion: What is the single over-arching emotion on the the review? Please only give 1 emotion.
5. Emotion Explanation: What is the cause and context for this emotion (aspect sentiment)


Review: ‘’PERSONAL LOAN’’‘’PERSONAL LOAN’’Don’t be fooled by pre-approved acceptance from comparison websites & credit reference agencies. Once you apply then the interigation process really starts I understand that every loan company has to do their own internal checks which is fair enough but this company is over the top. I chucked the towel in,in the end, applied with M & S personal loans no faf accepted straightaway money in the bank within 3 days. Beware you have been warned !!!Date of experience: January 22, 2024","Topic Category: Customer Service, Application Process
Themes: Lengthy Interrogation, Disappointment after Pre-Approval
Pain Point: The applicant faced an excessive interrogation process despite already being pre-approved elsewhere, resulting in abandoning the application.
Detailed Topic: This individual encountered extensive questioning during the application process even though they had previously received pre-acceptance offers from other sources like comparison websites and credit reference agencies. They eventually gave up on the application due to frustration.
Main Emotion: Frustration
Emotion Explanation: The excessive length and intensity of the interrogation process caused feelings of annoyance and disappointment, leading to frustration as the applicant ultimately decided to withdraw their"
Sadia Amin,5 reviews,GB,5 days ago,"We had a burglaryWe had a burglaryWe had a burglary, door glass was broken and cupboard door hinge came off. The person who came to fix the door frame was asked to deal with the cupboard door hinge, despite him not being a carpenter. As a result in 5 days hinge came off. I called the company the relevant person was busy at that moment. One of the female staff member called me back and refused to speak to me that my number was not on the policy although my name was, and I dealt with the whole procedure from the time of the incident. All of a sudden they did not want to speak to me on my contact number. They called my husband and excused to mend the cupboard door! despite it being included in our insurance policy. Now as a result of not sorting it in time the whole door has come off. My jewellery was also stolen, the company already decided on not to give the claim back on most of my jewellery items. But they asked for the photos of all the pieces of my lost jewellery( after deciding), they were my personal and private photos I would have never shared any if I knew they had no intentions of paying for these items. It is intruding in my private life knowingly with no right to do so. In my 27 years this was the first ever claim we made.Date of experience: October 17, 2023",1,"Please provide the following information for the given review keeping concise to a single sentence where possible:
0. Identify the topic category - it can be either Customer Service, Pricing, Policy Terms, Website/App
1. Identify a single or two common themes - this will be used to group review topic together
2. Pain point: What problem or challenge is the review addressing?
3. Detailed Topic: What in detail is the customer problem?
4. Main Emotion: What is the single over-arching emotion on the the review? Please only give 1 emotion.
5. Emotion Explanation: What is the cause and context for this emotion (aspect sentiment)


Review: We had a burglaryWe had a burglaryWe had a burglary, door glass was broken and cupboard door hinge came off. The person who came to fix the door frame was asked to deal with the cupboard door hinge, despite him not being a carpenter. As a result in 5 days hinge came off. I called the company the relevant person was busy at that moment. One of the female staff member called me back and refused to speak to me that my number was not on the policy although my name was, and I dealt with the whole procedure from the time of the incident. All of a sudden they did not want to speak to me on my contact number. They called my husband and excused to mend the cupboard door! despite it being included in our insurance policy. Now as a result of not sorting it in time the whole door has come off. My jewellery was also stolen, the company already decided on not to give the claim back on most of my jewellery items. But they asked for the photos of all the pieces of my lost jewellery( after deciding), they were my personal and private photos I would have never shared any if I knew they had no intentions of paying for these items. It is intruding in my private life knowingly with no right to do so. In my 27 years this was the first ever claim we made.Date of experience: October 17, 2023","Topic Category: Insurance & Claims Process
Themes: Poor Communication, Mismanagement of Repair, Lack of Transparency in Policy
Pain Point: Unsatisfactory handling of a home burglary claim leading to additional damage and privacy invasion.
Detailed Topic: The insurer sent an unqualified technician to repair a damaged door, resulting in its subsequent failure. The company then denied coverage for some stolen jewelry, requested explicit images of the items which were considered private.
Main Emotion: Frustration and violation of privacy.
Emotion Explanation: Frustrated due to poor communication and mismanaged repairs causing further damage to property; violated feeling of privacy when asked to"
Consumer,1 review,GB,"Jan 28, 2024","Absolutely awfulAbsolutely awful.  After a lorry hit my car I was provided with Enterprise to progress the claim - total waste of time - I had to do all the work and was constantly harassed by Enterprise.  I complained to Hastings and no surprise my complaint was not upheld.  Never ever use Hastings - absolutely the worst insurance company everDate of experience: January 28, 2024",1,"Please provide the following information for the given review keeping concise to a single sentence where possible:
0. Identify the topic category - it can be either Customer Service, Pricing, Policy Terms, Website/App
1. Identify a single or two common themes - this will be used to group review topic together
2. Pain point: What problem or challenge is the review addressing?
3. Detailed Topic: What in detail is the customer problem?
4. Main Emotion: What is the single over-arching emotion on the the review? Please only give 1 emotion.
5. Emotion Explanation: What is the cause and context for this emotion (aspect sentiment)


Review: Absolutely awfulAbsolutely awful.  After a lorry hit my car I was provided with Enterprise to progress the claim - total waste of time - I had to do all the work and was constantly harassed by Enterprise.  I complained to Hastings and no surprise my complaint was not upheld.  Never ever use Hastings - absolutely the worst insurance company everDate of experience: January 28, 2024","Topic Category: Customer Service
Themes: Harassment, Unresponsiveness
Pain Point: Poor handling of car accident claim process leading to frustration and wasted time
Detailed Topic: The reviewer experienced constant harassment from Enterprise during their car accident claim process while having to handle most of the work themselves, ultimately resulting in an unresolved issue when their complaint to Hastings was dismissed.
Main Emotion: Frustration
Emotion Explanation: The frustration stems from the unnecessary pressure and interference from Enterprise during the claim process along with the disappointment and feeling let down after their complaint to Hastings was ignored."
Sadie,1 review,GB,"Jan 31, 2024","If I could give zero stars I wouldIf I could give zero stars I would. First of all, it’s a joke that you have to call to cancel a renewal when you should be able to do it online. Secondly, it takes forever to get through no matter what time or day you call. And then finally when you get through they are absolutely horrible. Wanted to not renew. Found another provider with a very reasonable quote and couldn’t be bothered to haggle with Hastings to get it down. The guy that I got through to had the most disgusting manners. He said with the most patronising attitude, that I had not been fair with them by not allowing them the opportunity to give me a lower quote. He said especially after my details had dramatically changed when searching for quotes online. He said as a teacher I should know better than to lie and that it “would’ve been nice to have an honest conversation”. I’m not a teacher? And this line of interrogation came out of nowhere. Also details can change in a year pal. Marital status, employment, address, age, vehicle, number of dependants.. to name a few. The only thing I have gained from the utterly dreadful experience is that I will never be going with Hastings again. Oh and they have an online complaints form in case you didn’t know. I’d advise to stay away.Date of experience: January 31, 2024",1,"Please provide the following information for the given review keeping concise to a single sentence where possible:
0. Identify the topic category - it can be either Customer Service, Pricing, Policy Terms, Website/App
1. Identify a single or two common themes - this will be used to group review topic together
2. Pain point: What problem or challenge is the review addressing?
3. Detailed Topic: What in detail is the customer problem?
4. Main Emotion: What is the single over-arching emotion on the the review? Please only give 1 emotion.
5. Emotion Explanation: What is the cause and context for this emotion (aspect sentiment)


Review: If I could give zero stars I wouldIf I could give zero stars I would. First of all, it’s a joke that you have to call to cancel a renewal when you should be able to do it online. Secondly, it takes forever to get through no matter what time or day you call. And then finally when you get through they are absolutely horrible. Wanted to not renew. Found another provider with a very reasonable quote and couldn’t be bothered to haggle with Hastings to get it down. The guy that I got through to had the most disgusting manners. He said with the most patronising attitude, that I had not been fair with them by not allowing them the opportunity to give me a lower quote. He said especially after my details had dramatically changed when searching for quotes online. He said as a teacher I should know better than to lie and that it “would’ve been nice to have an honest conversation”. I’m not a teacher? And this line of interrogation came out of nowhere. Also details can change in a year pal. Marital status, employment, address, age, vehicle, number of dependants.. to name a few. The only thing I have gained from the utterly dreadful experience is that I will never be going with Hastings again. Oh and they have an online complaints form in case you didn’t know. I’d advise to stay away.Date of experience: January 31, 2024","Topic Category: Customer Service
Themes: Renewal process, Long wait times, Unsatisfactory interaction with agent
Pain Point: Difficulty in cancelling account due to poor service during renewal process
Detailed Topic: Inability to cancel renewal online, long wait times on phone calls, unsatisfactory interaction with rude and condescending customer service representative who accused the reviewer of lying based on changing personal details.
Main Emotion: Frustration
Emotion Explanation: Resulted from the inconvenience of having to call to cancel a renewal instead of being able to do it online, long wait times, and being spoken to disrespectfully by the representative."
Rosemary,18 reviews,GB,"Jan 31, 2024","Never use this companyNever use this company.  We had had our car insurance with Hastings Direct (HD) for several years and made no claims.  Unfortunately our renewal came up just before we went on holiday to Namibia and our credit card on their records had expired.  Namibia is a desert country with very poor internet access.  We tried four different credit cards and a debit card to pay this insurance but World Pay wouldn't accept any of them.  We emailed HD., asking for an extention to pay, as the car was locked up in our garage and no one was driving it.  We received a reply from Sian saying 'I can see you have mentioned having issues making payment due to being out of the country - please call our Customer Service team as soon as possible.'  On returning to the UK we rang HD to pay the outstanding premium.  They took £78 .85 for cancelling the policy.  We didn't cancel it - they did.  They would not reactivate our policy nor create a new one.  So we were left to find another company, as soon as possible, so we could collect the dog.  Their mantra on all their communications is 'We are here to help'!  Clearly not the case.  We can't understand why they cancelled our account with them, that generated approximately £300 / year, for a one-off payment of less than £100.So our advice is to never use this company.  You never know, you might have to try to make a claim from them one day!Date of experience: August 29, 2023",1,"Please provide the following information for the given review keeping concise to a single sentence where possible:
0. Identify the topic category - it can be either Customer Service, Pricing, Policy Terms, Website/App
1. Identify a single or two common themes - this will be used to group review topic together
2. Pain point: What problem or challenge is the review addressing?
3. Detailed Topic: What in detail is the customer problem?
4. Main Emotion: What is the single over-arching emotion on the the review? Please only give 1 emotion.
5. Emotion Explanation: What is the cause and context for this emotion (aspect sentiment)


Review: Never use this companyNever use this company.  We had had our car insurance with Hastings Direct (HD) for several years and made no claims.  Unfortunately our renewal came up just before we went on holiday to Namibia and our credit card on their records had expired.  Namibia is a desert country with very poor internet access.  We tried four different credit cards and a debit card to pay this insurance but World Pay wouldn't accept any of them.  We emailed HD., asking for an extention to pay, as the car was locked up in our garage and no one was driving it.  We received a reply from Sian saying 'I can see you have mentioned having issues making payment due to being out of the country - please call our Customer Service team as soon as possible.'  On returning to the UK we rang HD to pay the outstanding premium.  They took £78 .85 for cancelling the policy.  We didn't cancel it - they did.  They would not reactivate our policy nor create a new one.  So we were left to find another company, as soon as possible, so we could collect the dog.  Their mantra on all their communications is 'We are here to help'!  Clearly not the case.  We can't understand why they cancelled our account with them, that generated approximately £300 / year, for a one-off payment of less than £100.So our advice is to never use this company.  You never know, you might have to try to make a claim from them one day!Date of experience: August 29, 2023","Topic Category: Customer Service
Themes: Payment Issues, Poor Communication
Pain Point: The customer was unable to make a payment while abroad due to credit card issues and poor communication from Hastings Direct resulted in cancellation of their policy without consent.
Detailed Topic: The customer had been paying annually for their auto insurance through Hastings Direct for several years without claiming, but faced difficulties making a payment during their overseas holiday due to expired credit cards. Despite reaching out via email for extension, they were asked to contact customer service upon return to the UK. Upon doing so, they were charged £78.85 for policy cancellation, which wasn't initiated by themselves. Hastings Direct refused to"
Dan Stone,5 reviews,GB,"Jan 24, 2024","Harassment from Enterprise over insurance-arranged courtesy carFed up to the teeth with Enterprise Rent-a-Car UK.All my experiences over years have had issues, some serious.Be careful when your insurance company (e.g. Hastings Direct) uses Enterprise for courtesy cars, as if the fault is with third-party and they can't get the money, they will hound and harass YOU personally & directly for info and forms to be filled in to help them get their money, rather than deal with your insurance company. They say this is what you signed up for legally, but I dispute that! Very dodgy game they and Hastings Direct are playing! Will never use them again.Date of experience: January 24, 2024",1,"Please provide the following information for the given review keeping concise to a single sentence where possible:
0. Identify the topic category - it can be either Customer Service, Pricing, Policy Terms, Website/App
1. Identify a single or two common themes - this will be used to group review topic together
2. Pain point: What problem or challenge is the review addressing?
3. Detailed Topic: What in detail is the customer problem?
4. Main Emotion: What is the single over-arching emotion on the the review? Please only give 1 emotion.
5. Emotion Explanation: What is the cause and context for this emotion (aspect sentiment)


Review: Harassment from Enterprise over insurance-arranged courtesy carFed up to the teeth with Enterprise Rent-a-Car UK.All my experiences over years have had issues, some serious.Be careful when your insurance company (e.g. Hastings Direct) uses Enterprise for courtesy cars, as if the fault is with third-party and they can't get the money, they will hound and harass YOU personally & directly for info and forms to be filled in to help them get their money, rather than deal with your insurance company. They say this is what you signed up for legally, but I dispute that! Very dodgy game they and Hastings Direct are playing! Will never use them again.Date of experience: January 24, 2024","Topic Category: Customer Service
Themes: Communication, Hassle
Pain Point: The customer experienced persistent harassment from Enterprise during an insurance claim process for a courtesy car.
Detailed Topic: Enterprise contacted the customer directly demanding information and forms to aid in recovering payment from a third-party, causing significant inconvenience and stress.
Main Emotion: Frustration
Emotion Explanation: The frustration stems from Enterprise bypassing communication channels through the customer's insurance provider, creating additional workload and personal intrusion."
Don jones,1 review,GB,"Jan 22, 2024","what a shambolic company this iswhat a shambolic company this is , Got a quote for a car and was advised the underwriters would not insure me (56 years old with clean licence and no claims for over 20 years ) so said ok . The chap said no cancelation charge due to no offer of insurance and guess what a change of £33.80p and I had to ask the customer rep to mind his tone . I was spoken too like RUBBISH !!!!! NEVER WILL I USE THESE RIP OFF  HASTINGS AGAINDate of experience: January 22, 2024",1,"Please provide the following information for the given review keeping concise to a single sentence where possible:
0. Identify the topic category - it can be either Customer Service, Pricing, Policy Terms, Website/App
1. Identify a single or two common themes - this will be used to group review topic together
2. Pain point: What problem or challenge is the review addressing?
3. Detailed Topic: What in detail is the customer problem?
4. Main Emotion: What is the single over-arching emotion on the the review? Please only give 1 emotion.
5. Emotion Explanation: What is the cause and context for this emotion (aspect sentiment)


Review: what a shambolic company this iswhat a shambolic company this is , Got a quote for a car and was advised the underwriters would not insure me (56 years old with clean licence and no claims for over 20 years ) so said ok . The chap said no cancelation charge due to no offer of insurance and guess what a change of £33.80p and I had to ask the customer rep to mind his tone . I was spoken too like RUBBISH !!!!! NEVER WILL I USE THESE RIP OFF  HASTINGS AGAINDate of experience: January 22, 2024","1. Topic Category: Customer Service
2. Common Theme(s): Communication, Disappointment
3. Pain Point: Quote for insurance rejected without proper communication leading to frustration and disappointment.
4. Detailed Topic: The customer received an incorrect quote that couldn't be honored by the company, resulting in confusion and additional cost, followed by disrespectful treatment during phone interaction.
5. Main Emotion: Frustration - The reviewer felt frustrated due to miscommunication about the quote and being treated poorly during the conversation.
6. Emotion Explanation: The initial frustration stemmed from receiving an erroneous quote, which led to unnecessary expenses when it was changed. The"
Peter Bownes-Johnson,5 reviews,GB,"Jan 24, 2024","Unprofessional serviceUnprofessional service . No understanding of customer needs and tried to price hike my policy from £700 to £2100. I managed to renew with another company for £570 when I went to cancel with Hastings they said they could price match. UnbelievableDate of experience: January 24, 2024",1,"Please provide the following information for the given review keeping concise to a single sentence where possible:
0. Identify the topic category - it can be either Customer Service, Pricing, Policy Terms, Website/App
1. Identify a single or two common themes - this will be used to group review topic together
2. Pain point: What problem or challenge is the review addressing?
3. Detailed Topic: What in detail is the customer problem?
4. Main Emotion: What is the single over-arching emotion on the the review? Please only give 1 emotion.
5. Emotion Explanation: What is the cause and context for this emotion (aspect sentiment)


Review: Unprofessional serviceUnprofessional service . No understanding of customer needs and tried to price hike my policy from £700 to £2100. I managed to renew with another company for £570 when I went to cancel with Hastings they said they could price match. UnbelievableDate of experience: January 24, 2024","Topic Category: Customer Service
Themes: Misunderstanding of customer needs, Price Discrepancies
Pain Point: The customer encountered unprofessional behavior during their interaction with the representative who attempted to significantly increase their policy price without prior notice or explanation.
Detailed Topic: A lack of consideration for the customer's budget and previous agreement led them to seek alternative options, resulting in successful cancellation and renewal elsewhere.
Main Emotion: Frustration
Emotion Explanation: The frustration stems from feeling disrespected by the representative's actions, which resulted in financial inconvenience as well as time spent finding an alternate solution."
Karl Shipp,5 reviews,GB,"Jan 22, 2024","DO NOT USE THIS COMPANY!Quite possibly the worst experience ive had in over 20 years of driving.A simple task of changing over vehicle turned into 3 days of being messed about and leaving me without insurance on any vehicle.Purchased a new car and tried to change vehicles, firstly they arent open on a sunday afternoon, so had to set up temporary cover for a week so i could use the vehicle. When speaking to their call handlers, they couldnt understand what i was saying and were confused with what i wanted to do. Spoke to someone that could understand in the end and was told they couldnt insure my new car without giving any reason (Note the vehicle is a Ford Focus Diesel and im 42 years old)Was told i had to cancel my policy as they couldnt insure me however, they would charge me the £45 cancellation fee as they were at fault. Upon trying to cancel, I was told that even though they couldnt insure me I was still expected to pay the remainder of the premium, even though there wouldnt be insurance in place.Currently still ongoing and arguing the case with them but please DO NOT USE THIS COMPANY pay a loittle extra and go with someone else more reputable.Date of experience: January 22, 2024",1,"Please provide the following information for the given review keeping concise to a single sentence where possible:
0. Identify the topic category - it can be either Customer Service, Pricing, Policy Terms, Website/App
1. Identify a single or two common themes - this will be used to group review topic together
2. Pain point: What problem or challenge is the review addressing?
3. Detailed Topic: What in detail is the customer problem?
4. Main Emotion: What is the single over-arching emotion on the the review? Please only give 1 emotion.
5. Emotion Explanation: What is the cause and context for this emotion (aspect sentiment)


Review: DO NOT USE THIS COMPANY!Quite possibly the worst experience ive had in over 20 years of driving.A simple task of changing over vehicle turned into 3 days of being messed about and leaving me without insurance on any vehicle.Purchased a new car and tried to change vehicles, firstly they arent open on a sunday afternoon, so had to set up temporary cover for a week so i could use the vehicle. When speaking to their call handlers, they couldnt understand what i was saying and were confused with what i wanted to do. Spoke to someone that could understand in the end and was told they couldnt insure my new car without giving any reason (Note the vehicle is a Ford Focus Diesel and im 42 years old)Was told i had to cancel my policy as they couldnt insure me however, they would charge me the £45 cancellation fee as they were at fault. Upon trying to cancel, I was told that even though they couldnt insure me I was still expected to pay the remainder of the premium, even though there wouldnt be insurance in place.Currently still ongoing and arguing the case with them but please DO NOT USE THIS COMPANY pay a loittle extra and go with someone else more reputable.Date of experience: January 22, 2024","1. Topic Category: Customer Service, Insurance Policy
2. Themes: Miscommunication, Inflexibility
3. Pain Point: Difficulty in transferring auto insurance policy resulting in lack of coverage and financial loss.
4. Detailed Topic: Poor communication from call handlers led to misunderstandings, company unable to insure new vehicle due to unclear reasons, refusal to waive cancellation fee despite company error.
5. Main Emotion: Frustration. Reason: Company's actions caused inconvenience, confusion, potential financial harm and wasted time."
Panda,5 reviews,GB,"Jan 9, 2024","My husband was charged twice for car insuranceMy husband was charged twice for his car insurance leaving him without any money to pay bills. After being promised the money would be returned latest the next morning we waited. The next morning my husband called again asking where it was and was then promised £30 as compensation as the return for the dubble charged insurance would take another 3-5 business days. The £30 was suposed to arrive beetwen 10-11 today and its nowhere to be seen. Not to mention the ridiculous price of the insurance.Date of experience: January 05, 2024",1,"Please provide the following information for the given review keeping concise to a single sentence where possible:
0. Identify the topic category - it can be either Customer Service, Pricing, Policy Terms, Website/App
1. Identify a single or two common themes - this will be used to group review topic together
2. Pain point: What problem or challenge is the review addressing?
3. Detailed Topic: What in detail is the customer problem?
4. Main Emotion: What is the single over-arching emotion on the the review? Please only give 1 emotion.
5. Emotion Explanation: What is the cause and context for this emotion (aspect sentiment)


Review: My husband was charged twice for car insuranceMy husband was charged twice for his car insurance leaving him without any money to pay bills. After being promised the money would be returned latest the next morning we waited. The next morning my husband called again asking where it was and was then promised £30 as compensation as the return for the dubble charged insurance would take another 3-5 business days. The £30 was suposed to arrive beetwen 10-11 today and its nowhere to be seen. Not to mention the ridiculous price of the insurance.Date of experience: January 05, 2024","Topic Category: Customer Service, Pricing
Themes: Overcharging, Compensation delay
Pain Point: A customer was incorrectly charged twice for car insurance leading to financial hardship.
Detailed Topic: A customer experienced double charging from an insurance company and faced significant delay in receiving promised refunds and compensation, exacerbating their financial difficulties.
Main Emotion: Frustration / Disappointment
Emotion Explanation: The frustration stemmed from both the unexpected overcharge and the delayed return of compensation."
